"","Cell_line","Essentiality_MYC","Essentiality_UBR5","Segment_Mean_MYC","Segment_Mean_UBR5"
"1","au565","-2.117","-1.007","0.6465","-0.0996"
"2","bt20","-1.323","-1.633","0.046","0.1279"
"3","bt474","-3.08","-0.595","0.1847","0.3162"
"4","bt483","-0.696","-1.372","0.3532","0.4288"
"5","bt549","-1.713","0.324","0.2308","0.3564"
"6","cal120","-1.146","-1.368","0.4203","0.09"
"7","cal148","-0.666","-1.741","0.0041","0.0078"
"8","cal51","-4.275","-1.261","-0.009","-0.0038"
"9","cal851","-1.885","-0.455","0.0985","0.1499"
"10","cama1","-2.67","-0.559","0.2744","0.2451"
"11","du4475","-0.985","-1.819","0.0282","0.0546"
"12","efm19","-2.52","-1.692","0.1413","0.2299"
"13","efm192a","-0.629","-1.696","0.7505","-0.0059"
"14","evsat","-1.96","-0.739","0.4255","0.463"
"15","hbl100","-0.066","0.373","0.6264","-0.2139"
"16","hcc1008","-3.295","-0.875","0.2183","0.3453"
"17","hcc1143","-0.383","-0.915","0.3885","0.3994"
"18","hcc1187","-1.143","0.144","0.1143","0.1122"
"19","hcc1419","-2.854","-1.082","0.5897","0.6397"
"20","hcc1428","-0.645","-0.828","0.5136","0.5349"
"21","hcc1500","0.061","-0.838","0.3282","0.1698"
"22","hcc1569","-1.263","-1.051","0.3976","0.4024"
"23","hcc1599","-1.065","-1.287","0.4548","0.328"
"24","hcc1806","0.184","-1.345","0.2977","0.2461"
"25","hcc1937","-1.305","-2.984","0.3402","0.3523"
"26","hcc1954","-0.444","0.221","0.4676","0.4661"
"27","hcc202","-1.18","-2.328","0.2896","0.2744"
"28","hcc2185","-1.225","-2.153","0.4861","0.3334"
"29","hcc2218","-1.213","0.417","0.3529","0.41"
"30","hcc2688","-1.835","-0.761","-0.1758","-0.1679"
"31","hcc3153","-2.327","-0.263","0.3145","0.2349"
"32","hcc38","-0.103","-2.632","0.2666","0.3133"
"33","hcc70","-0.944","-1.814","0.2362","0.26"
"34","hdqp1","-4.381","-2.072","0.3196","0.142"
"35","hs578t","-1.57","-0.138","0.3238","0.3926"
"36","jimt1","-2.187","-0.909","0.2159","0.2781"
"37","kpl1","-0.832","-1.521","0.3062","0.3883"
"38","ly2","-2.593","-0.21","0.4235","0.4149"
"39","macls2","-1.493","-1.031","0.4972","0.5536"
"40","mb157","-1.867","-1.64","0.2665","-0.1381"
"41","mcf10a","-2.153","-1.872","0.1736","0.2146"
"42","mcf12a","-3.807","-0.531","0.2909","0.3046"
"43","mcf7","-1.583","-0.585","0.1985","0.3173"
"44","mdamb134vi","-0.315","-0.539","0.2376","0.2495"
"45","mdamb157","-0.752","-0.509","0.3188","0.3815"
"46","mdamb231","-0.785","-0.361","0.1011","0.1549"
"47","mdamb330","-1.267","-2.367","0.328","0.1822"
"48","mdamb361","-0.689","-1.625","0.1481","0.1434"
"49","mdamb415","-0.882","0.425","0.2085","0.2593"
"50","mdamb436","-2.074","0.596","0.3051","-0.241"
"51","mdamb453","-1.548","-0.11","0.2106","0.312"
"52","mdamb468","-0.27","-0.18","-0.2446","-0.1128"
"53","mfm223","-1.008","-0.896","0.8543","-0.1578"
"54","mx1","-2.016","-1.533","0.4891","0.3759"
"55","ocubm","-0.966","-1.891","0.4677","0.3543"
"56","skbr3","-1.132","-0.799","0.6679","0.0211"
"57","skbr5","0.122","-2.896","0.2656","0.2473"
"58","skbr7","-0.41","-0.816","0.0045","-0.0223"
"59","sum102","-0.485","0.245","-0.0695","-0.0803"
"60","sum1315","-0.574","0.887","0.1996","0.3334"
"61","sum149","-1.246","-1.501","0.0933","0.1088"
"62","sum159","-1.747","-0.052","0.7315","-6e-04"
"63","sum185","-2.296","-1.206","0.2108","0.2108"
"64","sum190","-0.217","-1.191","0.0404","0.3397"
"65","sum225","-1.313","0.075","0.2988","0.425"
"66","sum44","-0.459","0.13","0.1016","0.0903"
"67","sum52","-1.47","0.443","0.194","0.2914"
"68","sw527","-1.063","0.381","0.7026","-0.0457"
"69","t47d","-1.548","-0.761","0.1661","0.2535"
"70","uacc893","-0.739","-2.345","0.3083","0.3081"
"71","X184a1","-5.131","-0.508","0.2312","0.2497"
"72","X184b5","-1.06","0.286","0.1555","0.2256"
"73","X600mpe","-1.029","-1.207","0.0276","0.0276"
"74","zr751","-1.306","-2.352","0.1802","0.1915"
"75","zr75b","-1.167","-1.712","0.098","0.132"
