"","Sample","Chromosome","Start_UBR5","End_UBR5","Segment_Mean_UBR5","Start_MYC","End_MYC","Segment_Mean_MYC"
"1","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_B06_1039628","8",69204391,111279265,0,111288052,140601844,0.0051
"2","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_B07_1039608","8",84358566,114615356,0.1077,114868722,128731647,0.115
"3","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_B08_1039606","8",71304266,111282852,-0.0015,111283031,131326565,0.0024
"4","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_B09_1039674","8",81083357,111282852,-0.0021,114638468,141406880,-0.0036
"5","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_B10_1039592","8",63937166,139585619,0.0568,63937166,139585619,0.0568
"6","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_B11_1039630","8",100683106,102753217,0.2173,120245305,143355877,0.154
"7","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_C11_1039656","8",46517387,105983925,0.0052,111288052,142113246,0.0016
"8","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_C12_1039638","8",71833714,103706231,0.1553,111288052,140345403,0.3231
"9","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D01_1039748","8",71307628,106017116,0.3796,122498498,143227769,0.3692
"10","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D02_1039710","8",77851919,111279265,-0.0033,111288052,140994796,5e-04
"11","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D03_1039602","8",57287614,145072769,0.004,57287614,145072769,0.004
"12","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D04_1039670","8",89206450,111279265,0.1877,121567627,141356600,0.1452
"13","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D05_1039740","8",82846597,111279265,6e-04,119031079,128744020,2e-04
"14","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D06_1039642","8",84358447,105985087,0.0072,111283031,139591259,0.0084
"15","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D07_1039684","8",63937166,106221326,0.0025,111288052,140990578,0.0095
"16","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D08_1039750","8",84884097,111282417,0.5254,114650365,131691192,0.5247
"17","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D09_1039762","8",40926161,111282809,-0.0163,124221655,142029038,-0.0228
"18","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D10_1039782","8",39587163,111279265,-0.0037,111288052,141349163,-0.0017
"19","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D11_1039774","8",71307628,108883716,-0.0039,119150615,136942338,0.0037
"20","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_D12_1039776","8",71303987,106145208,-0.0025,114638558,141564139,0.0032
"21","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_E11_1039768","8",50126018,111282237,2e-04,111288052,140990632,0.0032
"22","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_E12_1039598","8",78854264,144177490,0.1372,78854264,144177490,0.1372
"23","BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_F01_1039686","8",98374488,111279265,0.011,114869806,128035407,0.0021
