"","Sample","Chromosome","Start_UBR5","End_UBR5","Segment_Mean_UBR5","Start_MYC","End_MYC","Segment_Mean_MYC"
"1","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082","8",94545887,106030149,0.2827,114879820,128735944,0.2856
"2","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A02_772068","8",101661258,105965001,1.2847,122735291,133884526,1.1008
"3","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A03_772170","8",99765660,114622438,0.57,114638468,129199082,0.5785
"4","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A04_772222","8",102040911,111279265,0.9299,124512557,132051991,0.8465
"5","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A05_772140","8",58166479,111282417,-0.0616,111283031,139141133,-0.0695
"6","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A06_772212","8",46503845,114596146,0.0175,114859222,128744020,0.0058
"7","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A07_772118","8",39530780,111279265,0.0071,114638468,136742541,0.0124
"8","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A08_772172","8",94546864,145072769,0.0076,94546864,145072769,0.0076
"9","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A09_772060","8",40926161,111282441,0.0094,111283031,139141133,0.0106
"10","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A10_772192","8",39529446,111279265,0.0076,111288052,145072769,0.0118
"11","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A11_772112","8",50126018,111282050,0.0074,111288052,145072769,0.007
"12","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A12_772184","8",71307628,111279265,0.01,114638468,128744020,0.0053
"13","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B01_772124","8",50126018,111282237,0.011,114638468,141560942,0.0088
"14","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B02_772110","8",71307628,111279265,0.0061,111289023,128744020,0.0112
"15","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B03_772062","8",78892491,105994734,0.085,114638468,140990666,0.0958
"16","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B04_772202","8",60708054,144345824,0.0228,60708054,144345824,0.0228
"17","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B05_772056","8",90611672,105932301,0.3046,126667424,135520943,0.3223
"18","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B06_772144","8",101406246,111279265,0.0465,119150615,128744020,0.037
"19","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B07_772154","8",49065995,140990088,0.552,49065995,140990088,0.552
"20","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B08_772096","8",67636256,111282237,0.3802,123036517,130835623,0.3589
"21","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B09_772072","8",82694115,111282065,0.0262,111288052,132990883,0.0317
"22","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B10_772128","8",50126018,143222462,0.6333,50126018,143222462,0.6333
"23","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B11_772048","8",74415359,111279265,-0.1775,122057480,141143139,-0.1877
